LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
117                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
1189                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
1601                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
1767                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
192                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
1955                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
1956                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
1958                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
2013                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
2175                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
2283                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
2401                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
2430                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
2586                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
2598                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
2692                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
2767                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
281                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
2918                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
3047                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
3132                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
3194                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
3312                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
430                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
438                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
509                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
54                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
57                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
1207                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              183125              F 
491                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              183125              F 
573                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              183125              F 
783                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              183125              F 
